微博id,微博正文,头条文章url,原始图片url,微博视频url,发布位置,发布时间,发布工具,点赞数,转发数,评论数
Ji3xV3u8P,有线上麻将的吗邀一邀 http://t.cn/RBaFzxp  ,,无,无,无,2020-08-28 23:11,Hi聊,0,0,0
Ji3sk3t63,烦死了，到底什么时候开学，自己发的通知自己出尔反尔，就这么不愿意承担责任吗 http://t.cn/RBaFzxp  ,,无,无,无,2020-08-28 22:57,Hi聊,1,0,2
Ji3jG7Ddd,真的要吐槽，要说的，请移步wb话题，在这里多说无益。 http://t.cn/RBaFzxp  ,,无,无,无,2020-08-28 22:36,Hi聊,1,0,0
Ji3fhn8bd,我的drama queen室友终于走啦，开心！！！想到它之前笑我不懂英文牌子，但其实那时我六级已经过了，还天天追老友记，那些词我看得懂，它自己六级都不知道挂了几次了！！！ http://t.cn/RBaFzxp  ,,无,无,无,2020-08-28 22:25,Hi聊,1,0,0
Ji3ePv0jh,想问要打科三学时的宝宝们，你们打科三学时，教练收你们多少💰？想对比一下 看看自己有没有被多交了 http://t.cn/RBaFzxp  ,,无,无,无,2020-08-28 22:24,Hi聊,0,0,3
Ji38chbcL,每个星期都有一次想要分手，怎么办 http://t.cn/RBaFzxp  ,,无,无,无,2020-08-28 22:08,Hi聊,3,0,3
Ji2YycE9Z,看图别让我们等太久 http://t.cn/RBaFzxp  原图 ,,http://wx3.sinaimg.cn/large/006gRmAaly1gi6v01kh28j30u01t0whj.jpg,无,无,2020-08-28 21:44,Hi聊,2,0,1
Ji2SdpxQQ,为什么男朋友总喜欢捏我的手和胳膊，一起出去玩，时不时就要捏一下我，打一下我，有时候打痛了我很生气地骂他，他还很委屈地说他都没有用力 http://t.cn/RBaFzxp  ,,无,无,无,2020-08-28 21:29,Hi聊,2,0,6
Ji2Cyd6ms,我想问 不搬就让退学是真的吗 别人桥中房政府都没强制让他们搬走 学校这样威胁学生是合法的吗?求问求问 而且之前已经搬过了 真的会被逼退学吗？ http://t.cn/RBaFzxp  ,,无,无,无,2020-08-28 20:50,Hi聊,3,0,4
Ji2yIkOw9,西部计划待遇怎么样，一定要毕业后吗？什么时候开始报名呢？援藏援疆同时吗？ http://t.cn/RBaFzxp  ,,无,无,无,2020-08-28 20:40,Hi聊,0,0,0
Ji2ulEohM,大家的愤怒点过了一两天稍微下降了点，学校又开始通知了，部分已经开始退宿舍水电费了。其实不想搬，那就都要团结起来想办法，如果只会吐槽然后一直吃瓜旁观，而树洞的评论和点赞都貌似已经被操作了，难道都想慢慢地被学校逐个击破嘛？... http://t.cn/RBaFzxp  ,,无,无,无,2020-08-28 20:30,Hi聊,11,0,1
Ji2eZ0IWX,站着说话不腰疼 就辛苦一天而已??? http://t.cn/RBaFzxp  原图 ,,http://wx2.sinaimg.cn/large/006gRmAaly1gi6rr8b6xnj30u00l7abq.jpg,无,无,2020-08-28 19:52,Hi聊,62,0,15
Ji1WBgKDU,想问一下，约考科三需要的学时，一定要24小时满吗？ http://t.cn/RBaFzxp  ,,无,无,无,2020-08-28 19:07,Hi聊,0,0,2
Ji1VEtyLn,sgxy真的服了什么办事效率。。能不能为学生想一下啊，这学期要补上学期的实习见习什么的，还要上课和一些杂七杂八的事，那些考研考公的咋搞？ http://t.cn/RBaFzxp  ,,无,无,无,2020-08-28 19:04,Hi聊,17,0,5
Ji1UNzXMz,老白嫖了，问政不见你们有人敢问，别人问政完就把信息当成自己的发出来 http://t.cn/RBaFzxp  ,,无,无,无,2020-08-28 19:02,Hi聊,1,0,0
Ji1KIBXYU,在那个话题点的赞过会看就没了 试了几次都是这样，厉害了我的sgu👍 http://t.cn/RBaFzxp  ,,无,无,无,2020-08-28 18:37,Hi聊,1,0,0
Ji1Fxq3rm,推迟返校？广州东莞有？不会到时候还不能考四六级吧？还是18号回去隔天考？？？ http://t.cn/RBaFzxp  ,,无,无,无,2020-08-28 18:25,Hi聊,4,0,0
Ji1yx3OEL,呵呵，快要上热搜了，时代变了，朋友。 http://t.cn/RBaFzxp  ,,无,无,无,2020-08-28 18:07,Hi聊,14,0,0
Ji1wB1g5D,该做的事情迟迟不做不该做的事情倒是一套一套地通知 http://t.cn/RBaFzxp  ,,无,无,无,2020-08-28 18:03,Hi聊,9,0,0
Ji1w9iZyO,请问一下，有住在堕落的小伙伴有地方帮忙放一下行李吗？有酬谢！ http://t.cn/RBaFzxp  ,,无,无,无,2020-08-28 18:01,Hi聊,0,0,2
Ji1w56pBU,突然间发现北区装了空调 http://t.cn/RBaFzxp  ,,无,无,无,2020-08-28 18:01,Hi聊,0,0,1
